Feature,Importance
Age,0.5392415
Cholesterol,0.3731193
Blood Pressure,0.009938614
Stress Level,0.008346244
Family History_No,0.0077839717
Chest Pain Type_Typical Angina,0.0074256402
Smoking_Former,0.007397712
Gender_Female,0.0072230846
Chest Pain Type_Non-anginal Pain,0.0064880135
Blood Sugar,0.006434077
Exercise Hours,0.006098823
Chest Pain Type_Asymptomatic,0.005521329
Heart Rate,0.0055101784
Diabetes_No,0.004899373
Family History_Yes,0.0026240498
Obesity_Yes,0.0019481062
Alcohol Intake_Heavy,0.0
Smoking_Never,0.0
Diabetes_Yes,0.0
Obesity_No,0.0
Exercise Induced Angina_No,0.0
Exercise Induced Angina_Yes,0.0
Smoking_Current,0.0
Chest Pain Type_Atypical Angina,0.0
Gender_Male,0.0
Alcohol Intake_Moderate,0.0
